Indices estatísticos,ETo_PM_NP,ETo_U05,ETo_U1,"ETo_U1,5",ETo_U2,Municipio
EAM,"0,53","0,47","0,41","0,40","0,45",Cidade Gaúcha
RMSE,"0,70","0,64","0,58","0,59","0,65",Cidade Gaúcha
corr_p,"0,93","0,93","0,93","0,93","0,93",Cidade Gaúcha
CE,"0,80","0,83","0,86","0,86","0,82",Cidade Gaúcha
d,"0,95","0,96","0,96","0,96","0,95",Cidade Gaúcha
r2,"0,80","0,83","0,86","0,86","0,82",Cidade Gaúcha
EAM,"0,74","0,85","0,72","0,63","0,59",Foz do Iguaçú
RMSE,"0,97","1,08","0,96","0,90","0,88",Foz do Iguaçú
corr_p,"0,86","0,86","0,86","0,86","0,85",Foz do Iguaçú
CE,"0,67","0,59","0,67","0,72","0,73",Foz do Iguaçú
d,"0,92","0,90","0,91","0,92","0,92",Foz do Iguaçú
r2,"0,67","0,59","0,67","0,72","0,73",Foz do Iguaçú
EAM,"0,75","0,93","0,77","0,64","0,55",Marechal Cândido Rondon
RMSE,"0,90","1,12","0,94","0,80","0,71",Marechal Cândido Rondon
corr_p,"0,91","0,89","0,89","0,89","0,89",Marechal Cândido Rondon
CE,"0,61","0,41","0,58","0,69","0,76",Marechal Cândido Rondon
d,"0,91","0,88","0,90","0,92","0,94",Marechal Cândido Rondon
r2,"0,61","0,41","0,58","0,69","0,76",Marechal Cândido Rondon
EAM,"0,33","0,73","0,56","0,44","0,37",Maringá
RMSE,"0,43","0,83","0,66","0,54","0,47",Maringá
corr_p,"0,96","0,95","0,95","0,95","0,95",Maringá
CE,"0,91","0,66","0,78","0,86","0,89",Maringá
d,"0,97","0,92","0,95","0,96","0,97",Maringá
r2,"0,91","0,66","0,78","0,86","0,89",Maringá
EAM,"0,85","0,79","0,70","0,66","0,65",Nova Tebas
RMSE,"1,04","0,97","0,87","0,84","0,85",Nova Tebas
corr_p,"0,86","0,86","0,86","0,86","0,86",Nova Tebas
CE,"0,60","0,65","0,72","0,74","0,73",Nova Tebas
d,"0,89","0,90","0,91","0,92","0,91",Nova Tebas
r2,"0,60","0,65","0,72","0,74","0,73",Nova Tebas
EAM,"0,97","0,86","0,72","0,63","0,58",Planalto
RMSE,"1,19","1,08","0,94","0,85","0,81",Planalto
corr_p,"0,88","0,88","0,88","0,88","0,87",Planalto
CE,"0,48","0,58","0,68","0,74","0,76",Planalto
d,"0,88","0,90","0,92","0,93","0,93",Planalto
r2,"0,48","0,58","0,68","0,74","0,76",Planalto
EAM,"0,62","0,68","0,58","0,52","0,51",Sete Quedas
RMSE,"0,78","0,85","0,74","0,69","0,70",Sete Quedas
corr_p,"0,89","0,89","0,89","0,89","0,89",Sete Quedas
CE,"0,72","0,67","0,75","0,78","0,78",Sete Quedas
d,"0,93","0,92","0,94","0,94","0,94",Sete Quedas
r2,"0,72","0,67","0,75","0,78","0,78",Sete Quedas